id,sentence_text,pass2_control,pass2_label,note
P02768,It is compulsory for all staff to have completed the training on reporting suspected security incidents.,DSPT6_Incidents,1,
P02860,"It is in place to encrypt all backups and store them in a secure, distinct area from the main system.",DSPT7_Continuity,1,
P02863,"All backup data are encrypted and stored in a secure, segregated environment.",DSPT7_Continuity,1,
P02868,Data copies is stored externally off-site to mitigate the risk of loss in the event of fire or theft.,DSPT7_Continuity,1,
P02921,Data storage is restricted to the office machine only.,DSPT7_Continuity,0,
P02933,It is a regulatory requirement that all operating systems in use remain supported by their original vendor,DSPT8_UnsupportedSystems,1,
P02934,All supported operating systems in our care home continue to receive vendor-provided support,DSPT8_UnsupportedSystems,1,
P02935,All software in use within our premises are officially supported by its manufacturer until a replacement is found,DSPT8_UnsupportedSystems,1,
P02958,Legacy equipment is disconnected from the network and replaced to prevent any potential disruption to our services.,DSPT8_UnsupportedSystems,1,
P02976,The care system's security risks are not adequately mitigated by the continued use of an unsupported web browser.,DSPT8_UnsupportedSystems,0,
P03038,The deadline for the DSPT assessment was strictly adhered to.,DSPT9_ITProtection,1,
P03039,The DSPT assessment was completed and published within the specified timeframe.,DSPT9_ITProtection,1,
P03040,"As per our policy, the DSPT assessment was completed and published before the deadline.",DSPT9_ITProtection,1,
P03041,Our policy requires that the DSPT assessment be completed and published on time.,DSPT9_ITProtection,1,
P03093,We have not recently conducted a thorough review of our IT security arrangements as stipulated,DSPT9_ITProtection,0,
P03101,"All IT suppliers have a valid data processing agreement, adhering to our company's contractual terms.",DSPT10_Suppliers,1,
P03137,We have not yet established a signed data processing agreement with our software suppliers.,DSPT10_Suppliers,0,
